,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
345,8.1,--,Roshell Bissett,Roshell Bissett,A rather shy Tokyo teenager is taken downtown by her more outgoing friends. There she discovers the money she can earn from Japan's porno industry's obsession with schoolgirls in their uniform.,46m,Cotton Candy
346,6.6,--,John Covert,John Covert,"The Chicago Mafia murders one of the bosses named Frank Martel, who had started working for the police.",1h 30m,Waiting for the Man
347,7.2,--,Abdoulaye Ascofare,Abdoulaye Ascofare,"The story of Zamiatou, a Songhaï woman, in North Eastern Mali. With two young sons, a pretty daughter and a handicapped husband, Zamiatou struggles to survive in a remote and barren area. She doesn't want her daughter to ""work"" for white people, but her determination will take her far from her family",1h 30m,Faraw!
348,8.1,--,Stole Popov,Vladimir Blazevski,In a Macedonian gypsy village local man meets an Indian UNPROFOR physician whom he sees as solution to all his troubles.,2h 6m,Gypsy Magic
349,4.2,--,Stephen Eckelberry,Richmond RiedelKaren Black,"A bunch of friends met up for a barbecue in a big house in L.A. They all have something in their past and/or are screwed-up. Arguments, fights, murders and some sex occur in this talky drama that very slowly connects together.",1h 34m,Charades
350,--,--,P.J. Bracco,P.J. Bracco,"The Court is an urban drama from the streets of Red Hook, Brooklyn. Joey, a fatherless neighborhood boy taken into a group of friends through his cousin Paul, a wise guy with a drug problem. Discovering a side of Paul he never knew, Joey finds himself in the middle of a real mess. Now, roped into Paul's problems, Joey needs to figure out a way to make things right. Ca... Read all",1h 27m,The Court
351,7.8,--,Karl W. Lohninger,Karl W. Lohninger,A young couple faces its darker sides when the prospective buyers of their house offer more than what was asked for.,1h 33m,A House by the Sea
352,4.6,--,Mike Sedan,Helen Haxton,"Donna is unfulfilled. In an unsatisfying marriage, she finds herself fantasizing about her sultry friends' lovers. But for her, fantasy and forbidden desires are about to be reawakened. Each morning, she will find herself in the arms of a new lover, while her sexy friends seduce her husband, Tom in more ways than one. The art of seduction is animalistic. In a world ob... Read all",1h 18m,Insatiable Wives
353,8.0,100%,Peter Watkins,Agathe BluysenPeter Watkins,"In this war drama blurring the lines between documentary and fiction, the working class and the bourgeoisie of 19th century Paris are interviewed and covered on television, before and during a tragic workers' class revolt.",5h 45m,"La Commune (Paris, 1871)"
354,4.9,12%,Noah Knox Marshall,Noah Knox Marshall,"17 year old Z.T., a brilliant mind and solid athlete, dreams of a great college and a future of invention and innovation. But he still grieves over his mother's recent death, a shoulder injury will likely prevent him from an athletic scholarship, and his father has squandered his college trust fund in bad investments. His situation is desperate. Suddenly Z.T. is confr... Read all",1h 39m,All Over Again
